tema;ano;texto;enunciado;op_a;op_b;op_c;op_d;op_e;gabarito;explicacao
semantica;2025;I- 'A mulher hesita porque vai entrar.' II- 'Esse corpo entrará no ilimitado frio (...).';Assinale a opção em que os termos sublinhados possuem a mesma relação lexical observada nos fragmentos acima.;A) Palavras em tupi/guarani incorporadas... neologismos surgiram da intuição popular.;B) A vida no mar guarda desafios... os oceanos instigam o homem a elevar-se...;C) Menino pediu ao pai... Mal sabia aquele que este estava muito mais empolgado...;D) Eu lembro de um show... Um show no país mais brasileiro da Europa...;E) Desta parte, quem cuida é o suporte técnico... sua dúvida prontamente será atendida.;0;A relação entre 'entrar' e 'entrará' envolve flexões da mesma base lexical, padrão repetido no jogo de retomada de termos da opção A.
morfologia;2025;a entrega de dois mundos incognoscíveis (...);Assinale a opção em que o termo destacado possui o mesmo processo de formação de palavra que o do trecho sublinhado acima.;A) O governo decidiu repatriar os cidadãos que estavam no exterior.;B) Ele tinha aversão a lugares muito barulhentos.;C) O gentio da região sempre acolhe os visitantes com hospitalidade.;D) O almirantado planejou uma nova estratégia para a frota no mar.;E) O enlace entre familiares fortalece os vínculos da sociedade.;4;O termo 'incognoscíveis' apresenta formação por derivação prefixal e sufixal simultânea, o que equivale morfologicamente à estrutura de derivação presente em 'enlace' (derivação regressiva do verbo enlaçar).
interpretacao;2025;;No primeiro parágrafo do texto I, há um fenômeno denominado de heterogeneidade tipológica. Assinale a opção que apresenta corretamente os tipos textuais que predominam no referido parágrafo.;A) Narrativo e injuntivo.;B) Descritivo e argumentativo.;C) Expositivo e narrativo.;D) Argumentativo e injuntivo.;E) Descritivo e narrativo.;1;O parágrafo inicial faz ponderações e juízos de valor sobre o mar e a mulher (argumentação) enquanto caracteriza o cenário da praia (descrição).
semantica;2025;O sol se abre mais (...);O fragmento retirado do texto representa um tipo de construção da linguagem coloquial. Assinale a opção que também apresenta coloquialidade.;A) Assistir o jogo ou ir para a praça, naquela tarde tediosa, era o dilema.;B) Já não se lembra da picardia que me fez no mês passado?;C) Entre mim e tí, não importa o dia, não pode haver nenhuma confusão.;D) Mesmo eu quase falando, não perceberam ainda onde quero morar.;E) Nem João nem Carlos será eleito presidente do clube do bairro.;0;Na opção A, a regência do verbo 'assistir' com sentido de presenciar foi usada de forma coloquial (sem a preposição 'a'), o que contraria a norma culta padrão ('assistir ao jogo').
sintaxe;2025;Ai está ele, o mar (...);Quanto à ordem gramatical e natureza sintática do termo destacado, assinale a opção em que se observa o mesmo tipo de realce verificado na utilização do termo destacado no trecho acima.;A) Que fazes tu de grande e bom?;B) Isso não se faz, protestou Fabiano.;C) Acolá, no Catongo, é uma festa.;D) Não vês o que te dou eu?;E) Servia-se o almoço às dez.;0;O termo apresenta uma estrutura sintática de inversão e realce pronominal que encontra perfeita equivalência no padrão de construção frasal da opção A.
interpretacao;2025;;Assinale a opção em que o fragmento retirado do texto evidencia o fenômeno da intertextualidade implicita.;A) 'O cheiro é de uma maresia tonteante...' 6°§;B) 'Avançando, ela abre o mar pelo meio...' 8°§;C) 'E era isso o que lhe estava faltando...' 9°§;D) 'Mergulha de novo, de novo bebe, mais água...' 10°§;E) 'Não está caminhando sobre as águas ah nunca faria isso depois que há milênios já andaram sobre as águas...' 11°§;4;A opção E faz uma referência implícita direta à passagem bíblica de Jesus caminhando sobre as águas, configurando o fenômeno da intertextualidade implícita.
concordancia;2025;Havia sempre muitos navios.;Observe que o verbo está corretamente flexionado. Assinale a opção em que a flexão verbal do vocábulo destacado está correta de acordo com a norma padrão.;A) Ainda assim, naquele momento, mesmo havendo oposição a tudo, restava cerca de cem viragos.;B) Foi um dos poucos no seu tempo que reconheceu a originalidade da literatura brasileira.;C) As 'Memórias Póstumas de Brás Cubas' lhe dava uma outra dimensão do que poderia representar seu autor.;D) Com o sol rachando o solo já seco, soou doze horas por igrejas daqueles vales empoeirados.;E) Eu não estava num bom momento, olhar e ver eram para mim um recurso de defesa.;1;A opção B está correta. Na estrutura 'um dos que', o verbo pode concordar no plural ou ficar no singular enfatizando o indivíduo singular ('reconheceu').
regencia;2025;Sabia que não estavam ali à espera do prático.;Com relação ao sinal indicativo de crase, assinale a opção em que o acento ocorreu pelo mesmo motivo observado no trecho acima.;A) Mesmo vindo recentemente da Inglaterra, vou à cidade de Londres passar férias.;B) Os veludos de fora, talhados à francesa, resplandeciam constelados de pérolas.;C) Aquilo que menos tinha conexão, de fato, trouxe prejuízos de toda a natureza.;D) Junto às advogadas, parecia ser conhecedora do assunto como suas acompanhantes.;E) Por conta de seu histórico, não duvidávamos que estivesse à procura de problemas.;4;No trecho original, a crase ocorre devido à locução conjuntiva/prepositiva feminina 'à espera de'. O mesmo ocorre na opção E com a locução 'à procura de'.
pontuacao;2025;Mas, sentado no banco, com o cachorro deitado a seu lado, gostava de pensar que na névoa da manhã os navios esperavam por ele (...);Assinale a opção em que a reescritura do trecho mantém a correção gramatical, com relação à pontuação.;A) Mas, sentado no banco, com o cachorro deitado a seu lado, gostava de pensar que, na névoa da manhã, os navios esperavam por ele.;B) Mas, sentado no banco, com o cachorro deitado a seu lado gostava, de pensar que na névoa da manhã os navios esperavam por ele.;C) Mas, sentado no banco, com o cachorro deitado a seu lado, gostava de pensar que na névoa da manhã, os navios esperavam por ele.;D) Mas, sentado no banco com o cachorro deitado a seu lado gostava de pensar, que na névoa da manhã, os navios esperavam por ele.;E) Mas, sentado no banco, com o cachorro deitado a seu lado, gostava de pensar que na névoa da manhã os navios, esperavam por ele.;0;A opção A isola corretamente o adjunto adverbial de tempo intercalado 'na névoa da manhã' por meio de vírgulas, mantendo a frase totalmente correta.
ortografia;2025;Toda manhã sala (...);Assinale a opção cuja palavra seja acentuada pela mesma razão que a sublinhada no trecho acima (saía - hiato).;A) Júri.;B) Dificil.;C) Reúne.;D) Até.;E) Ímã.;2;A palavra 'saía' é acentuada pela regra do hiato (I ou U tônicos sozinhos na sílaba). A única palavra que segue essa mesma regra é 'Re-ú-ne'.
semantica;2025;No entanto, por trás da diversão aparente, existe um perigo real: a dependência.;Assinale a opção que, contextualmente, substitui o trecho 'é preciso' em 'é preciso explorar os fatores danosos' COM alteração de sentido.;A) é mandatário.;B) faz-se mister.;C) imperativo.;D) é imprescindível.;E) é capital.;0;Todas as opções trazem sinônimos de necessidade absoluta ou urgência, exceto 'é mandatário' que altera a semântica original do contexto para uma relação puramente de mandado político/jurídico.
concordancia;2025;Reconhecer os riscos associados à compulsividade no jogo e implementar medidas de prevenção e tratamento é passo essencial (...);Quanto à concordância, a forma verbal destacada foi usada corretamente. Assinale a opção em que o vocábulo sublinhado também foi empregado de forma correta.;A) Ainda que seja polêmico, o fazer e o escrever é a mesma coisa.;B) São deveras importante criar novas ações para novos desafios.;C) Ele em severa crise com sua consciência, se alternam rir e chorar.;D) Correr, nadar e pedalar fazem parte de sua intensa rotina matinal.;E) Ficar e partir é encarado pelo protagonista com uma frieza absurda.;2;Na alternativa C, a alternância de infinitivos como sujeitos compostos exige a flexão verbal no plural ('se alternam rir e chorar'), estando totalmente correta.
semantica;2025;Mesmo que o esqueça daqui a uns minutos (...).;A locução destacada pode ser substituída, sem alterar o sentido do trecho, por:;A) Nem que.;B) Consoante.;C) Ao passo que.;D) Desde que.;E) Até que.;0;A locução 'Mesmo que' possui valor concessivo. A única alternativa que também apresenta essa mesma relação de sentido é 'Nem que'.
morfologia;2025;;Assinale a opção em que o termo retomado pelo pronome relativo 'que' foi destacado corretamente.;A) '...com que se entregariam duas compreensões.';B) '...é a exiguidade do corpo que o permite manter-se quente...';C) 'A água salgada é de um frio que lhe arrepia em ritual as pernas.';D) '...como no amor em que a oposição pode ser um pedido.';E) '...menos sofrega e menos aguda. Agora sabe o que quer.';4;Na opção E, o 'que' funciona como pronome relativo retomando o pronome demonstrativo 'o' (equivalente a 'aquilo'), atuando como objeto direto de 'quer'.
ortografia;2025;Por que é que um cão é tão livre? Porque ele é o mistério vivo que não se indaga.;O uso dos vocábulos destacados foi feito corretamente. Assinale a opção em que o emprego do termo sublinhado também foi realizado de forma correta.;A) Por que tinha medo, preferiu não ir de avião.;B) A maneira por que ele falava é que era apaixonada.;C) Este é o amigo porque me arrisquei tanto e era um falso.;D) A funcionária foi demitida e não entendeu porquê.;E) Não entendi o por quê da sua decisão.;3;A opção D está correta, pois a forma 'porquê' (junto e com acento) deve ser usada quando grafada no final de frases ou isolada, funcionando como um substantivo.
interpretacao;2025;;Assinale a opção que apresenta a sentença transcrita em que há, no contexto, a correta correspondência entre o termo destacado e o referente a ele atribuído.;A) '...Ele só lhe é delimitado pela linha do horizonte...' - mar;B) '...porque é a exiguidade do corpo que o permite...' - corpo;C) '...que a torna pobre e livre gente...' - exiguidade;D) '...É fatal não se conhecer...' - fatal;E) '...tudo líquido, deixam-na por uns instantes cega...' - ela;4;O pronome oblíquo 'na' em 'deixam-na' refere-se de forma direta a 'ela' (a mulher), protagonista do texto.
semantica;2025;Seu corpo se consola com sua própria exiguidade (...).;Assinale a opção na qual se observa uma relação de sinonimia com o termo destacado no fragmento acima.;A) Significância.;B) Serenidade.;C) Equidade.;D) Incipiência.;E) Pequenez.;4;O termo 'exiguidade' indica o estado do que é exíguo, ou seja, pequeno ou diminuto, tornando 'pequenez' o seu sinônimo perfeito.
sintaxe;2025;O sal, o iodo, tudo liquido, deixam-na por uns instantes cega;Assinale a opção em que a forma verbal destacada possui a mesma transitividade do vocábulo sublinhado no trecho acima.;A) Contentar-se com a sorte que não vem de jeito nenhum.;B) Ao dono da loja assiste razão de gabar-se do grande feito.;C) O persistente devoto chamou pela Virgem sua madrinha.;D) O homem comum não responderia o que ele me responde.;E) Naquela noite, ele saiu da casa sem olhar para trás.;3;O verbo 'deixar' no contexto é Transitivo Direto (VTD). A alternativa D traz o verbo 'responder' também empregado como Transitivo Direto.
sintaxe;2025;Esse corpo entrará no ilimitado frio (...).;Assinale a opção em que o termo destacado exerce a mesma função sintática que a do trecho sublinhado acima.;A) '...que lhe arrepia em ritual as pernas...';B) '...a alegria é uma fatalidade...';C) '...o caminho lento aumenta sua coragem secreta...';D) '...Avançando, ela abre o mar pelo meio...';E) '...Sabe que está brilhando de água, e sal e sol...';3;O termo 'no ilimitado frio' atua como adjunto adverbial de lugar. Na alternativa D, a expressão 'pelo meio' também exerce a função sintática de adjunto adverbial.
sintaxe;2025;O cheiro é de uma maresia tonteante que a desperta de seus mais adormecidos sonos seculares.;Assinale a opção em que o termo destacado exerce o mesmo tipo de função sintática que a do vocábulo sublinhado no trecho acima.;A) Essa é a cidade onde passei minha infância.;B) Essa é a menina cujo pai trabalha nesta empresa.;C) O autor escreveu um livro que todos elogiaram.;D) Foi o engenheiro quem determinou a execução da obra.;E) Chegou o grande médico que todos esperavam.;3;Na frase principal, o pronome relativo 'que' atua como sujeito. Na alternativa D, o pronome 'quem' exerce exatamente o mesmo papel de sujeito da oração.
semantica;2025;I- 'A mulher hesita porque vai entrar.' II- 'Esse corpo entrará no ilimitado frio (...).';Assinale a opção em que os termos sublinhados possuem a mesma relação lexical observada nos fragmentos acima.;A) Palavras em tupi/guarani incorporadas... neologismos surgiram da intuição popular.;B) A vida no mar guarda desafios... os oceanos instigam o homem a elevar-se...;C) Menino pediu ao pai... Mal sabia aquele que este estava muito mais empolgado...;D) Eu lembro de um show... Um show no país mais brasileiro da Europa...;E) Desta parte, quem cuida é o suporte técnico... sua dúvida prontamente será atendida.;0;A relação entre 'entrar' e 'entrará' envolve flexões da mesma base lexical, padrão repetido no jogo de retomada de termos da opção A.
morfologia;2025;a entrega de dois mundos incognoscíveis (...);Assinale a opção em que o termo destacado possui o mesmo processo de formação de palavra que o do trecho sublinhado acima.;A) O governo decidiu repatriar os cidadãos que estavam no exterior.;B) Ele tinha aversão a lugares muito barulhentos.;C) O gentio da região sempre acolhe os visitantes com hospitalidade.;D) O almirantado planejou uma nova estratégia para a frota no mar.;E) O enlace entre familiares fortalece os vínculos da sociedade.;4;O termo 'incognoscíveis' apresenta formação por derivação prefixal e sufixal simultânea, o que equivale morfologicamente à estrutura de derivação presente em 'enlace' (derivação regressiva do verbo enlaçar).
interpretacao;2025;;No primeiro parágrafo do texto I, há um fenômeno denominado de heterogeneidade tipológica. Assinale a opção que apresenta corretamente os tipos textuais que predominam no referido parágrafo.;A) Narrativo e injuntivo.;B) Descritivo e argumentativo.;C) Expositivo e narrativo.;D) Argumentativo e injuntivo.;E) Descritivo e narrativo.;1;O parágrafo inicial faz ponderações e juízos de valor sobre o mar e a mulher (argumentação) enquanto caracteriza o cenário da praia (descrição).
semantica;2025;O sol se abre mais (...);O fragmento retirado do texto representa um tipo de construção da linguagem coloquial. Assinale a opção que também apresenta coloquialidade.;A) Assistir o jogo ou ir para a praça, naquela tarde tediosa, era o dilema.;B) Já não se lembra da picardia que me fez no mês passado?;C) Entre mim e tí, não importa o dia, não pode haver nenhuma confusão.;D) Mesmo eu quase falando, não perceberam ainda onde quero morar.;E) Nem João nem Carlos será eleito presidente do clube do bairro.;0;Na opção A, a regência do verbo 'assistir' com sentido de presenciar foi usada de forma coloquial (sem a preposição 'a'), o que contraria a norma culta padrão ('assistir ao jogo').
sintaxe;2025;Ai está ele, o mar (...);Quanto à ordem gramatical e natureza sintática do termo destacado, assinale a opção em que se observa o mesmo tipo de realce verificado na utilização do termo destacado no trecho acima.;A) Que fazes tu de grande e bom?;B) Isso não se faz, protestou Fabiano.;C) Acolá, no Catongo, é uma festa.;D) Não vês o que te dou eu?;E) Servia-se o almoço às dez.;0;O termo apresenta uma estrutura sintática de inversão e realce pronominal que encontra perfeita equivalência no padrão de construção frasal da opção A.
interpretacao;2025;;Assinale a opção em que o fragmento retirado do texto evidencia o fenômeno da intertextualidade implicita.;A) 'O cheiro é de uma maresia tonteante...' 6°§;B) 'Avançando, ela abre o mar pelo meio...' 8°§;C) 'E era isso o que lhe estava faltando...' 9°§;D) 'Mergulha de novo, de novo bebe, mais água...' 10°§;E) 'Não está caminhando sobre as águas ah nunca faria isso depois que há milênios já andaram sobre as águas...' 11°§;4;A opção E faz uma referência implícita direta à passagem bíblica de Jesus caminhando sobre as águas, configurando o fenômeno da intertextualidade implícita.
concordancia;2025;Havia sempre muitos navios.;Observe que o verbo está corretamente flexionado. Assinale a opção em que a flexão verbal do vocábulo destacado está correta de acordo com a norma padrão.;A) Ainda assim, naquele momento, mesmo havendo oposição a tudo, restava cerca de cem viragos.;B) Foi um dos poucos no seu tempo que reconheceu a originalidade da literatura brasileira.;C) As 'Memórias Póstumas de Brás Cubas' lhe dava uma outra dimensão do que poderia representar seu autor.;D) Com o sol rachando o solo já seco, soou doze horas por igrejas daqueles vales empoeirados.;E) Eu não estava num bom momento, olhar e ver eram para mim um recurso de defesa.;1;A opção B está correta. Na estrutura 'um dos que', o verbo pode concordar no plural ou ficar no singular enfatizando o indivíduo singular ('reconheceu').
regencia;2025;Sabia que não estavam ali à espera do prático.;Com relação ao sinal indicativo de crase, assinale a opção em que o acento ocorreu pelo mesmo motivo observado no trecho acima.;A) Mesmo vindo recentemente da Inglaterra, vou à cidade de Londres passar férias.;B) Os veludos de fora, talhados à francesa, resplandeciam constelados de pérolas.;C) Aquilo que menos tinha conexão, de fato, trouxe prejuízos de toda a natureza.;D) Junto às advogadas, parecia ser conhecedora do assunto como suas acompanhantes.;E) Por conta de seu histórico, não duvidávamos que estivesse à procura de problemas.;4;No trecho original, a crase ocorre devido à locução conjuntiva/prepositiva feminina 'à espera de'. O mesmo ocorre na opção E com a locução 'à procura de'.
pontuacao;2025;Mas, sentado no banco, com o cachorro deitado a seu lado, gostava de pensar que na névoa da manhã os navios esperavam por ele (...);Assinale a opção em que a reescritura do trecho mantém a correção gramatical, com relação à pontuação.;A) Mas, sentado no banco, com o cachorro deitado a seu lado, gostava de pensar que, na névoa da manhã, os navios esperavam por ele.;B) Mas, sentado no banco, com o cachorro deitado a seu lado gostava, de pensar que na névoa da manhã os navios esperavam por ele.;C) Mas, sentado no banco, com o cachorro deitado a seu lado, gostava de pensar que na névoa da manhã, os navios esperavam por ele.;D) Mas, sentado no banco com o cachorro deitado a seu lado gostava de pensar, que na névoa da manhã, os navios esperavam por ele.;E) Mas, sentado no banco, com o cachorro deitado a seu lado, gostava de pensar que na névoa da manhã os navios, esperavam por ele.;0;A opção A isola corretamente o adjunto adverbial de tempo intercalado 'na névoa da manhã' por meio de vírgulas, mantendo a frase totalmente correta.
ortografia;2025;Toda manhã sala (...);Assinale a opção cuja palavra seja acentuada pela mesma razão que a sublinhada no trecho acima (saía - hiato).;A) Júri.;B) Dificil.;C) Reúne.;D) Até.;E) Ímã.;2;A palavra 'saía' é acentuada pela regra do hiato (I ou U tônicos sozinhos na sílaba). A única palavra que segue essa mesma regra é 'Re-ú-ne'.
semantica;2025;No entanto, por trás da diversão aparente, existe um perigo real: a dependência.;Assinale a opção que, contextualmente, substitui o trecho 'é preciso' em 'é preciso explorar os fatores danosos' COM alteração de sentido.;A) é mandatário.;B) faz-se mister.;C) imperativo.;D) é imprescindível.;E) é capital.;0;Todas as opções trazem sinônimos de necessidade absoluta ou urgência, exceto 'é mandatário' que altera a semântica original do contexto para uma relação puramente de mandado político/jurídico.
concordancia;2025;Reconhecer os riscos associados à compulsividade no jogo e implementar medidas de prevenção e tratamento é passo essencial (...);Quanto à concordância, a forma verbal destacada foi usada corretamente. Assinale a opção em que o vocábulo sublinhado também foi empregado de forma correta.;A) Ainda que seja polêmico, o fazer e o escrever é a mesma coisa.;B) São deveras importante criar novas ações para novos desafios.;C) Ele em severa crise com sua consciência, se alternam rir e chorar.;D) Correr, nadar e pedalar fazem parte de sua intensa rotina matinal.;E) Ficar e partir é encarado pelo protagonista com uma frieza absurda.;2;Na alternativa C, a alternância de infinitivos como sujeitos compostos exige a flexão verbal no plural ('se alternam rir e chorar'), estando totalmente correta.
semantica;2025;Mesmo que o esqueça daqui a uns minutos (...).;A locução destacada pode ser substituída, sem alterar o sentido do trecho, por:;A) Nem que.;B) Consoante.;C) Ao passo que.;D) Desde que.;E) Até que.;0;A locução 'Mesmo que' possui valor concessivo. A única alternativa que também apresenta essa mesma relação de sentido é 'Nem que'.
morfologia;2025;;Assinale a opção em que o termo retomado pelo pronome relativo 'que' foi destacado corretamente.;A) '...com que se entregariam duas compreensões.';B) '...é a exiguidade do corpo que o permite manter-se quente...';C) 'A água salgada é de um frio que lhe arrepia em ritual as pernas.';D) '...como no amor em que a oposição pode ser um pedido.';E) '...menos sofrega e menos aguda. Agora sabe o que quer.';4;Na opção E, o 'que' funciona como pronome relativo retomando o pronome demonstrativo 'o' (equivalente a 'aquilo'), atuando como objeto direto de 'quer'.
ortografia;2025;Por que é que um cão é tão livre? Porque ele é o mistério vivo que não se indaga.;O uso dos vocábulos destacados foi feito corretamente. Assinale a opção em que o emprego do termo sublinhado também foi realizado de forma correta.;A) Por que tinha medo, preferiu não ir de avião.;B) A maneira por que ele falava é que era apaixonada.;C) Este é o amigo porque me arrisquei tanto e era um falso.;D) A funcionária foi demitida e não entendeu porquê.;E) Não entendi o por quê da sua decisão.;3;A opção D está correta, pois a forma 'porquê' (junto e com acento) deve ser usada quando grafada no final de frases ou isolada, funcionando como um substantivo.
interpretacao;2025;;Assinale a opção que apresenta a sentença transcrita em que há, no contexto, a correta correspondência entre o termo destacado e o referente a ele atribuído.;A) '...Ele só lhe é delimitado pela linha do horizonte...' - mar;B) '...porque é a exiguidade do corpo que o permite...' - corpo;C) '...que a torna pobre e livre gente...' - exiguidade;D) '...É fatal não se conhecer...' - fatal;E) '...tudo líquido, deixam-na por uns instantes cega...' - ela;4;O pronome oblíquo 'na' em 'deixam-na' refere-se de forma direta a 'ela' (a mulher), protagonista do texto.
semantica;2025;Seu corpo se consola com sua própria exiguidade (...).;Assinale a opção na qual se observa uma relação de sinonimia com o termo destacado no fragmento acima.;A) Significância.;B) Serenidade.;C) Equidade.;D) Incipiência.;E) Pequenez.;4;O termo 'exiguidade' indica o estado do que é exíguo, ou seja, pequeno ou diminuto, tornando 'pequenez' o seu sinônimo perfeito.
sintaxe;2025;O sal, o iodo, tudo liquido, deixam-na por uns instantes cega;Assinale a opção em que a forma verbal destacada possui a mesma transitividade do vocábulo sublinhado no trecho acima.;A) Contentar-se com a sorte que não vem de jeito nenhum.;B) Ao dono da loja assiste razão de gabar-se do grande feito.;C) O persistente devoto chamou pela Virgem sua madrinha.;D) O homem comum não responderia o que ele me responde.;E) Naquela noite, ele saiu da casa sem olhar para trás.;3;O verbo 'deixar' no contexto é Transitivo Direto (VTD). A alternativa D traz o verbo 'responder' também empregado como Transitivo Direto.
sintaxe;2025;Esse corpo entrará no ilimitado frio (...).;Assinale a opção em que o termo destacado exerce a mesma função sintática que a do trecho sublinhado acima.;A) '...que lhe arrepia em ritual as pernas...';B) '...a alegria é uma fatalidade...';C) '...o caminho lento aumenta sua coragem secreta...';D) '...Avançando, ela abre o mar pelo meio...';E) '...Sabe que está brilhando de água, e sal e sol...';3;O termo 'no ilimitado frio' atua como adjunto adverbial de lugar. Na alternativa D, a expressão 'pelo meio' também exerce a função sintática de adjunto adverbial.
sintaxe;2025;O cheiro é de uma maresia tonteante que a desperta de seus mais adormecidos sonos seculares.;Assinale a opção em que o termo destacado exerce o mesmo tipo de função sintática que a do vocábulo sublinhado no trecho acima.;A) Essa é a cidade onde passei minha infância.;B) Essa é a menina cujo pai trabalha nesta empresa.;C) O autor escreveu um livro que todos elogiaram.;D) Foi o engenheiro quem determinou a execução da obra.;E) Chegou o grande médico que todos esperavam.;3;Na frase principal, o pronome relativo 'que' atua como sujeito. Na alternativa D, o pronome 'quem' exerce exatamente o mesmo papel de sujeito da oração.
semantica;2025;I- 'A mulher hesita porque vai entrar.' II- 'Esse corpo entrará no ilimitado frio (...).';Assinale a opção em que os termos sublinhados possuem a mesma relação lexical observada nos fragmentos acima.;A) Palavras em tupi/guarani incorporadas... neologismos surgiram da intuição popular.;B) A vida no mar guarda desafios... os oceanos instigam o homem a elevar-se...;C) Menino pediu ao pai... Mal sabia aquele que este estava muito mais empolgado...;D) Eu lembro de um show... Um show no país mais brasileiro da Europa...;E) Desta parte, quem cuida é o suporte técnico... sua dúvida prontamente será atendida.;0;A relação entre 'entrar' e 'entrará' envolve flexões da mesma base lexical, padrão repetido no jogo de retomada de termos da opção A.
